127.0.0.1 - - [08/Mar/2022:09:33:28 +0900] "GET / HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:33:31 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:33:31 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:33:31 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:33:37 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:36:56 +0900] "GET /JSPProject/03-07/ex05_14.html HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:37:00 +0900] "GET /JSPProject/03-07/ex05_15.html HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:41:31 +0900] "GET /JSPProject/03-08/ex07_01.html HTTP/1.1" 200 2565
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:14 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:22 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:23 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:23 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:23 +0900] "GET /favicon.ico HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:34 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:42 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:43 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:44:43 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:49:12 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:49:48 +0900] "GET /JSPProject/03-07/prac01.html HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [08/Mar/2022:09:49:48 +0900] "GET /JSPProject/03-07/img/cellphone.jpg HTTP/1.1" 200 20345
